math,eng,gender,class
0.6670795710596966,0.6408701126225976,M,A
0.7604619256001206,0.5286755568832837,M,B
0.8994275530175055,0.7405040038711991,M,B
0.46197387686266067,0.4096717629835272,M,C
0.6615448175833691,0.6066982442224509,M,B
0.6995160423972235,0.3666269226334976,M,A
0.5991778273084108,0.4929482012731164,M,C
0.7568456138222515,0.6797437759316316,M,A
0.6876679910010494,0.46623269347644325,M,B
0.7176021181899854,0.49523624170866287,M,B
0.660061504817507,0.519986250762854,M,C
0.6993732341234812,0.6571107821818688,M,B
0.6675245898679094,0.5279919101946194,M,B
0.6402056445368669,0.44087564463829587,M,C
0.8389668472501677,0.5620017299368977,M,C
0.6800542182333876,0.540177573734736,M,B
0.797162817369418,0.4167633864587374,M,A
0.6327012049274757,0.37422735997198253,M,A
0.7686640864952475,0.6969555809909554,M,B
0.7748331250892522,0.5638754280456272,M,A
0.689865607451684,0.4287006418750245,M,B
0.6352707602736072,0.37971798202241613,M,C
0.7827581695479883,0.5905918150901588,M,B
0.5559993156574503,0.42967488288396494,M,A
0.6804359006991745,0.4071990915771422,M,A
0.7052432005831314,0.4971143668961253,M,B
0.8672210865591067,0.5409619744513906,M,A
0.7347644155455084,0.5414085588973093,M,A
0.5569758048880649,0.5323946236670458,M,B
0.8625709826551895,0.6200571536881032,M,A
0.664544136301688,0.5291252579338146,M,C
0.825456583852907,0.542232981621424,M,C
0.6510355557020354,0.3353927227913739,M,B
0.6677900214864638,0.50735000330431,M,A
0.6278336035386357,0.4419126388540441,M,B
0.47015799017990156,0.33020905324976035,M,C
0.9279195561705795,0.5468909156520169,M,B
0.6280665424841199,0.47748573891316937,M,C
0.5485364085520738,0.5961272314691826,M,A
0.7821061547400416,0.5487249222620026,M,B
0.6582854836284328,0.5074036121590892,M,C
0.7046530208877632,0.5950059151551488,M,C
0.6498218553869296,0.46832654384366257,M,C
0.749203447433363,0.6088538574670497,M,C
0.7315211443949631,0.4575319552983062,M,A
0.6366376423140773,0.5265453808046286,M,A
0.6940761424152311,0.42540029367064575,M,B
0.7224693418005781,0.4802113052294658,M,A
0.7895373910864926,0.5524548062674669,M,A
0.8257872782899751,0.4715949477001226,M,A
0.6239859252453935,0.5629707112200772,M,B
0.7875993980633205,0.48379967294131043,M,C
0.6553456792197353,0.588648281126058,M,B
0.8451939449395689,0.4425816005794297,M,A
0.5605200821151195,0.575618221643764,M,C
0.7880745135457364,0.5298738994853455,M,A
0.8438634790333052,0.5744878563917127,M,B
0.5807398226717605,0.43541469026834667,M,C
0.7599453609443327,0.5130892167935,M,B
0.7376181209852473,0.35619708507453884,M,A
0.4543220448210969,0.3877963106539325,M,C
0.7578412138217983,0.602613627277013,M,A
0.7521561332491576,0.5278367702651408,M,A
0.7247712422471608,0.6238397911360369,M,C
0.7830447043415788,0.5875876767672887,M,C
0.7166555737230316,0.5745468878061911,M,A
0.5528094881549536,0.5157571936803921,M,C
0.6637593685842692,0.41421555239995933,M,C
0.7687295443417841,0.6523440271678905,M,B
0.612775449706802,0.5074462738673625,M,A
0.7965341917676506,0.6518695685476467,M,A
0.7272524126372597,0.512536929331244,M,B
0.6136283552724241,0.35776281901775564,M,C
